network,period,Positive_VADER,Count,Mean tone,Mean vader_tone
ABC News,After Election,0.7022222222222222,225,-2.6820195585598605,0.3998493333333334
ABC News,Before Election,0.6482213438735178,253,-3.1791133210639213,0.28726363636363644
Fox News,After Election,0.7529182879377432,1028,-1.6205610584220158,0.48868813229571983
Fox News,Before Election,0.7121374865735768,931,-2.0512868752277402,0.40481600429645553
MSNBC,After Election,0.6194852941176471,544,-2.0953967508708904,0.0832367647058823
MSNBC,Before Election,0.6190476190476191,546,-2.6075965303149307,0.06587912087912089
