media,week,gdelt_tone
abc,2017-06-05/2017-06-11,-2.9527097869360404
abc,2017-06-12/2017-06-18,-3.771553319184735
abc,2017-06-19/2017-06-25,-3.290598437372564
abc,2017-06-26/2017-07-02,-3.0823578547895862
abc,2017-07-03/2017-07-09,-2.6483404237611397
abc,2017-07-10/2017-07-16,-2.96081657766807
abc,2017-07-17/2017-07-23,-3.049410232274715
abc,2017-07-24/2017-07-30,-3.322165911248364
abc,2017-07-31/2017-08-06,-3.3113093684882737
abc,2017-08-07/2017-08-13,-3.0331066266436126
abc,2017-08-14/2017-08-20,-3.561181441960857
abc,2017-08-21/2017-08-27,-3.2643508482486587
abc,2017-08-28/2017-09-03,-2.726229997885675
abc,2017-09-04/2017-09-10,-3.0605628003456964
abc,2017-09-11/2017-09-17,-2.8917827013422515
abc,2017-09-18/2017-09-24,-3.2679299636548986
abc,2017-09-25/2017-10-01,-3.204316016508919
abc,2017-10-02/2017-10-08,-3.1656730309257166
abc,2017-10-09/2017-10-15,-3.1589657286864496
abc,2017-10-16/2017-10-22,-2.7573756908703855
abc,2017-10-23/2017-10-29,-3.1515162604147684
abc,2017-10-30/2017-11-05,-3.6789425292043894
abc,2017-11-06/2017-11-12,-2.952399731645109
abc,2017-11-13/2017-11-19,-2.7893182863989523
abc,2017-11-20/2017-11-26,-3.149325670883418
abc,2017-11-27/2017-12-03,-2.9992720091148746
abc,2017-12-04/2017-12-10,-2.9071275264812133
abc,2017-12-11/2017-12-17,-3.597460665173567
abc,2017-12-18/2017-12-24,-3.6848450976518743
abc,2017-12-25/2017-12-31,-3.773623477042372
abc,2018-01-01/2018-01-07,-3.1321489923246117
abc,2018-01-08/2018-01-14,-3.2130367077504154
abc,2018-01-15/2018-01-21,-3.2871709734835943
abc,2018-01-22/2018-01-28,-2.809445540144771
abc,2018-01-29/2018-02-04,-2.7802186671325715
abc,2018-02-05/2018-02-11,-3.115575934213766
abc,2018-02-12/2018-02-18,-3.3004755292429846
abc,2018-02-19/2018-02-25,-3.5723231824359636
abc,2018-02-26/2018-03-04,-3.032640855646516
abc,2018-03-05/2018-03-11,-2.8543053067653874
abc,2018-03-12/2018-03-18,-2.684445425775828
abc,2018-03-19/2018-03-25,-3.153687681282178
abc,2018-03-26/2018-04-01,-3.1611470992322683
abc,2018-04-02/2018-04-08,-3.3071237471386286
abc,2018-04-09/2018-04-15,-3.320419190887346
abc,2018-04-16/2018-04-22,-3.096409025820945
abc,2018-04-23/2018-04-29,-2.9995658354227226
abc,2018-04-30/2018-05-06,-3.0652013191001566
abc,2018-05-07/2018-05-13,-3.0329210909646536
abc,2018-05-14/2018-05-20,-2.371808429052448
abc,2018-05-21/2018-05-27,-2.8773991955215394
abc,2018-05-28/2018-06-03,-3.010372896192384
abc,2018-06-04/2018-06-10,-2.8192132170369657
abc,2018-06-11/2018-06-17,-2.8730372445209222
abc,2018-06-18/2018-06-24,-3.161373173841481
abc,2018-06-25/2018-07-01,-2.6515275108143186
abc,2018-07-02/2018-07-08,-3.5086910215184908
abc,2018-07-09/2018-07-15,-2.795242816260167
abc,2018-07-16/2018-07-22,-2.6285969746267708
abc,2018-07-23/2018-07-29,-3.2000318626462367
abc,2018-07-30/2018-08-05,-3.0026311501451697
abc,2018-08-06/2018-08-12,-3.2066678681504657
abc,2018-08-13/2018-08-19,-3.8295963167542584
abc,2018-08-20/2018-08-26,-3.5365795163321754
abc,2018-08-27/2018-09-02,-3.248759393309976
abc,2018-09-03/2018-09-09,-3.1604729646334544
abc,2018-09-10/2018-09-16,-3.4421194583895627
abc,2018-09-17/2018-09-23,-3.381742970318039
abc,2018-09-24/2018-09-30,-3.2203752227324673
abc,2018-10-01/2018-10-07,-2.829991633756252
abc,2018-10-08/2018-10-14,-3.218719421473145
abc,2018-10-15/2018-10-21,-3.076264967225502
abc,2018-10-22/2018-10-28,-2.978990744146124
abc,2018-10-29/2018-11-04,-2.409251337258508
abc,2018-11-05/2018-11-11,-2.1318768550262326
abc,2018-11-12/2018-11-18,-2.6293534021707607
abc,2018-11-19/2018-11-25,-3.321074563970109
abc,2018-11-26/2018-12-02,-2.8482743205798924
abc,2018-12-03/2018-12-09,-3.199016188175014
abc,2018-12-10/2018-12-16,-2.7035904632584464
abc,2018-12-17/2018-12-23,-2.9532013889494877
abc,2018-12-24/2018-12-30,-3.5460086842705336
abc,2018-12-31/2019-01-06,-3.3112040157371387
abc,2019-01-07/2019-01-13,-3.21906167040166
abc,2019-01-14/2019-01-20,-3.14689303021249
abc,2019-01-21/2019-01-27,-2.7337674782361923
abc,2019-01-28/2019-02-03,-2.886722429331633
abc,2019-02-04/2019-02-10,-2.039025427991851
abc,2019-02-11/2019-02-17,0.4887218045112798
abc,2019-02-18/2019-02-24,-4.0107709750566904
abc,2019-02-25/2019-03-03,1.50375939849624
abc,2019-03-04/2019-03-10,-3.012806046095878
abc,2019-03-11/2019-03-17,-2.7360851770741825
abc,2019-03-18/2019-03-24,-2.417754014519427
abc,2019-03-25/2019-03-31,-2.989638071454971
abc,2019-04-01/2019-04-07,-3.8408986776429943
abc,2019-04-08/2019-04-14,-3.898035706533417
abc,2019-04-15/2019-04-21,-3.6655438376918816
abc,2019-04-22/2019-04-28,-3.7724618635475946
abc,2019-04-29/2019-05-05,-4.146321824158722
abc,2019-05-06/2019-05-12,-3.490465926206234
abc,2019-05-13/2019-05-19,-4.008745980396996
abc,2019-05-20/2019-05-26,-3.7834684943845063
abc,2019-05-27/2019-06-02,-3.697801450863276
abc,2019-06-03/2019-06-09,-3.427530407929319
abc,2019-06-10/2019-06-16,-3.8088020094691086
abc,2019-06-17/2019-06-23,-3.6294996929266468
abc,2019-06-24/2019-06-30,-4.087193581438475
abc,2019-07-01/2019-07-07,-2.5928616290354682
abc,2019-07-08/2019-07-14,-3.775487751018308
abc,2019-07-15/2019-07-21,-3.8264430082129617
abc,2019-07-22/2019-07-28,-3.4226312896787716
abc,2019-07-29/2019-08-04,-4.02980801302016
abc,2019-08-05/2019-08-11,-4.614806481419192
abc,2019-08-12/2019-08-18,-3.5111224586187886
abc,2019-08-19/2019-08-25,-4.296933085636321
abc,2019-08-26/2019-09-01,-3.8882023244194346
abc,2019-09-02/2019-09-08,-3.665134301237058
abc,2019-09-09/2019-09-15,-3.432816726502912
abc,2019-09-16/2019-09-22,-3.54550748953753
abc,2019-09-23/2019-09-29,-3.310914164958255
abc,2019-09-30/2019-10-06,-4.119538236555961
abc,2019-10-07/2019-10-13,-2.9375524358977496
abc,2019-10-14/2019-10-20,-3.489118285577208
abc,2019-10-21/2019-10-27,-3.326960911912232
abc,2019-10-28/2019-11-03,-3.2842912159005957
abc,2019-11-04/2019-11-10,-3.1414865879567175
abc,2019-11-11/2019-11-17,-3.414004070423081
abc,2019-11-18/2019-11-24,-4.052879394562315
abc,2019-11-25/2019-12-01,-3.674669441766296
abc,2019-12-02/2019-12-08,-3.7162032377990415
abc,2019-12-09/2019-12-15,-3.400817672451223
abc,2019-12-16/2019-12-22,-3.325473203521865
abc,2019-12-23/2019-12-29,-2.9337796731195653
abc,2019-12-30/2020-01-05,-2.8842882326631902
abc,2020-01-06/2020-01-12,-4.126227353485447
abc,2020-01-13/2020-01-19,-3.1660246390829925
abc,2020-01-20/2020-01-26,-2.867030188437337
abc,2020-01-27/2020-02-02,-3.0395042043350835
abc,2020-02-03/2020-02-09,-2.819324352683993
abc,2020-02-10/2020-02-16,-3.4555319996180778
abc,2020-02-17/2020-02-23,-3.7200360502309398
abc,2020-02-24/2020-03-01,-3.7068408607411385
abc,2020-03-02/2020-03-08,-3.2074628452216936
abc,2020-03-09/2020-03-15,-3.2775124367228967
abc,2020-03-16/2020-03-22,-2.614413477098926
abc,2020-03-23/2020-03-29,-2.7486801840885455
abc,2020-03-30/2020-04-05,-2.748879706472737
abc,2020-04-06/2020-04-12,-2.569649678347827
abc,2020-04-13/2020-04-19,-2.8293240120603107
abc,2020-04-20/2020-04-26,-2.7530741540468697
abc,2020-04-27/2020-05-03,-2.836355119053516
abc,2020-05-04/2020-05-10,-2.8870988163331956
abc,2020-05-11/2020-05-17,-3.0988978589583063
abc,2020-05-18/2020-05-24,-2.8312836886316064
abc,2020-05-25/2020-05-31,-3.4195878070668333
abc,2020-06-01/2020-06-07,-4.048450266233241
abc,2020-06-08/2020-06-14,-3.5847913777393714
abc,2020-06-15/2020-06-21,-3.5759219488137237
abc,2020-06-22/2020-06-28,-3.343814529328262
abc,2020-06-29/2020-07-05,-3.578949570666221
abc,2020-07-06/2020-07-12,-3.729197261310798
abc,2020-07-13/2020-07-19,-3.6300525205653837
abc,2020-07-20/2020-07-26,-3.011490756014113
abc,2020-07-27/2020-08-02,-3.2214581963858233
abc,2020-08-03/2020-08-09,-3.3694323958087793
abc,2020-08-10/2020-08-16,-3.5844463948997336
abc,2020-08-17/2020-08-23,-3.248672957621881
abc,2020-08-24/2020-08-30,-3.4980347026120704
abc,2020-08-31/2020-09-06,-3.007477526824208
abc,2020-09-07/2020-09-13,-3.2933586435230713
abc,2020-09-14/2020-09-20,-3.42089894658086
