parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone
2023-01-01 11:30:00 UTC,https://www.msnbc.com/opinion/msnbc-opinion/donald-trump-indictments-are-likely-2023-rcna62596,donald trump indictments are likely 2023 rcna62596,"GENERAL_GOVERNMENT,1107;EPU_POLICY_GOVERNMENT,1107;TAX_FNCACT_CANDIDATE,4559;CRISISLEX_CRISISLEXREC,580;ELECTION_FRAUD,3711;ELECTION_FRAUD,3751;EPU_CATS_MONETARY_POLICY,397;EPU_CATS_MONETARY_POLICY,766;WB_2024_ANTI_CORRUPTION_AUTHORITIES,1906;WB_2024_ANTI_CORRUPTION_AUTHORITIES,3312;WB_2025_INVESTIGATION,1906;WB_2025_INVESTIGATION,3312;WB_831_GOVERNANCE,1906;WB_831_GOVERNANCE,3312;WB_832_ANTI_CORRUPTION,1906;WB_832_ANTI_CORRUPTION,3312;TAX_FNCACT_DISTRICT_ATTORNEY,3287;ELECTION,3608;SCANDAL,2147;CRISISLEX_C07_SAFETY,1517;EPU_POLICY_CONGRESS,2507;EPU_CATS_MIGRATION_FEAR_FEAR,2958;TAX_ETHNICITY_AMERICAN,2372;TAX_FNCACT_JUDGES,1642;APPOINTMENT,2006;TAX_FNCACT_ATTORNEY,1972;TAX_FNCACT_ATTORNEY,3287;CORRUPTION,3711;CORRUPTION,3751;WB_2019_ANTI_CORRUPTION_LEGISLATION,3711;WB_2019_ANTI_CORRUPTION_LEGISLATION,3751;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,3711;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,3751;USPEC_POLITICS_GENERAL1,620;USPEC_POLITICS_GENERAL1,2164;USPEC_POLITICS_GENERAL1,2413;USPEC_POLITICS_GENERAL1,3219;USPEC_POLITICS_GENERAL1,3421;USPEC_POLITICS_GENERAL1,3975;TAX_FNCACT_CRIMINAL,643;TAX_FNCACT_CRIMINAL,1231;DEMOCRACY,2382;UNGP_POLITICAL_FREEDOMS,2382;LEADER,943;LEADER,2249;LEADER,2768;LEADER,4403;LEADER,4715;TAX_FNCACT_PRESIDENT,943;TAX_FNCACT_PRESIDENT,2249;TAX_FNCACT_PRESIDENT,2768;TAX_FNCACT_PRESIDENT,4403;TAX_FNCACT_PRESIDENT,4715;SECURITY_SERVICES,909;WB_696_PUBLIC_SECTOR_MANAGEMENT,909;WB_840_JUSTICE,909;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,909;WB_328_FINANCIAL_INTEGRITY,909;WB_1014_CRIMINAL_JUSTICE,909;WB_2082_LAW_ENFORCEMENT,909;TAX_FNCACT_MAN,133;TRIAL,62;TRIAL,250;SOC_GENERALCRIME,62;SOC_GENERALCRIME,250;LEGISLATION,897;EPU_POLICY_LAW,897;UNGP_FORESTS_RIVERS_OCEANS,2491;TAX_FNCACT_PROSECUTOR,4430;TRANSPARENCY,344;TAX_FNCACT_PROSECUTORS,190;TAX_FNCACT_PROSECUTORS,1435;TAX_FNCACT_PROSECUTORS,2909;","2#Georgia, United States#US#USGA##32.9866#-83.6487#GA#3323;2#Georgia, United States#US#USGA##32.9866#-83.6487#GA#3433;2#Florida, United States#US#USFL##27.8333#-81.717#FL#473;2#Florida, United States#US#USFL##27.8333#-81.717#FL#842;2#New York, United States#US#USNY##42.1497#-74.9384#NY#4136;3#Fulton County, Georgia, United States#US#USGA#GA121#33.7668#-84.4499#1694833#3254;1#American#US#US##39.828175#-98.5795#US#2372","Jack Smith,1962;Steve Benen,3134;Donald Trump,41;Jennifer Rubin,3342;Justice Departmentmay,2450","A Brookings Institution,3483;Supreme Court,2981;Msnbc,3112;Justice Department,2093;Justice Department,2575;Trump Organization,4167","-6.35910224438903,1.74563591022444,8.10473815461347,9.8503740648379,24.0648379052369,0,715"
2023-01-01 14:15:00 UTC,https://www.msnbc.com/deadline-white-house/watch/gop-attempts-to-minimize-threat-of-far-right-violence-159007301977,gop attempts to minimize threat of far right violence 159007301977,"TAX_FNCACT_CHIEF,12;TRIAL,243;TAX_FNCACT_ATTORNEY,243;TAX_FNCACT_AGENT,136;EXTREMISM,342;CRISISLEX_C07_SAFETY,33;TAX_FNCACT_EDITOR,168;SOC_USSECURITYAGENCIES,33;USPEC_POLITICS_GENERAL1,204;UNREST_BELLIGERENT,330;TAX_FNCACT_COLUMNIST,180;","3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#63","Barbara Mcquade,259;Peter Strzok,149",,"-3.7037037037037,1.85185185185185,5.55555555555556,7.40740740740741,12.962962962963,0,48"
2023-01-01 18:15:00 UTC,https://www.msnbc.com/ali-velshi/watch/three-nypd-officers-wounded-in-machete-attack-near-times-square-on-new-year-s-eve-159106117816,three nypd officers wounded in machete attack near times square on new year s eve 159106117816,"TAX_WEAPONS_MACHETE,92;SECURITY_SERVICES,22;TAX_FNCACT_POLICE,22;CRISISLEX_C07_SAFETY,22;TAX_FNCACT_MAN,77;TAX_FNCACT_OFFICERS,31;WOUND,44;CRISISLEX_CRISISLEXREC,44;CRISISLEX_C03_WELLBEING_HEALTH,44;CRISISLEX_T02_INJURED,44;","2#New York, United States#US#USNY##42.1497#-74.9384#NY#10",,,"-3.33333333333333,3.33333333333333,6.66666666666667,10,23.3333333333333,0,26"
2023-01-01 23:15:00 UTC,https://www.msnbc.com/msnbc/watch/mccarthy-to-hold-call-with-house-republicans-ahead-of-speaker-vote-159114309775,mccarthy to hold call with house republicans ahead of speaker vote 159114309775,"TAX_FNCACT_SPEAKER,143;TAX_POLITICAL_PARTY_REPUBLICANS,74;USPEC_POLITICS_GENERAL1,74;",,"Kevin Mccarthy,19;Allie Raffa,182",,"-2.38095238095238,0,2.38095238095238,2.38095238095238,16.6666666666667,0,34"
2023-01-02 11:00:00 UTC,https://www.msnbc.com/msnbc/watch/boy-falls-into-115-foot-hole-on-vietnam-construction-site-159132229779,boy falls into 115 foot hole on vietnam construction site 159132229779,"CRISISLEX_CRISISLEXREC,8;WB_678_DIGITAL_GOVERNMENT,130;WB_694_BROADCAST_AND_MEDIA,130;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,130;SURVEILLANCE,159;",1#Vietnam#VM#VM##16.166667#107.833333#VM#19,,,"0,3.44827586206897,3.44827586206897,6.89655172413793,17.2413793103448,0,51"
2023-01-02 12:45:00 UTC,https://www.msnbc.com/msnbc/watch/pope-emeritus-benedict-xvi-lies-in-state-at-st-peter-s-basilica-159131717782,pope emeritus benedict xvi lies in state at st peter s basilica 159131717782,"TAX_FNCACT_POPE,131;CRISISLEX_C07_SAFETY,6;",,"Peter Square,54;Claudio Lavanga,156",,"2.94117647058824,2.94117647058824,0,2.94117647058824,23.5294117647059,0,30"
2023-01-02 15:00:00 UTC,https://www.msnbc.com/rachel-maddow-show/maddowblog/recount-shows-election-denier-fell-short-arizonas-g-race-rcna63923,recount shows election denier fell short arizonas g race rcna63923,"TAX_POLITICAL_PARTY_REPUBLICANS,3160;TAX_FNCACT_CANDIDATE,2200;ELECTION_FRAUD,1212;CRISISLEX_C07_SAFETY,3285;TAX_FNCACT_GOVERNOR,2881;TAX_WORLDLANGUAGES_MARICOPA,1038;ELECTION,119;ELECTION,958;TAX_POLITICAL_PARTY_DEMOCRAT,254;TAX_POLITICAL_PARTY_DEMOCRAT,836;USPEC_POLITICS_GENERAL1,254;USPEC_POLITICS_GENERAL1,836;TAX_POLITICAL_PARTY_DEMOCRATS,612;TAX_POLITICAL_PARTY_DEMOCRATS,1185;TAX_FNCACT_SECRETARY_OF_STATE,691;TAX_FNCACT_SECRETARY_OF_STATE,2902;TRIAL,751;TRIAL,916;TRIAL,1862;TRIAL,1887;TRIAL,1954;TRIAL,2913;TAX_FNCACT_ATTORNEY,751;TAX_FNCACT_ATTORNEY,916;TAX_FNCACT_ATTORNEY,1862;TAX_FNCACT_ATTORNEY,1887;TAX_FNCACT_ATTORNEY,1954;TAX_FNCACT_ATTORNEY,2913;CORRUPTION,1212;WB_2019_ANTI_CORRUPTION_LEGISLATION,1212;WB_696_PUBLIC_SECTOR_MANAGEMENT,1212;WB_831_GOVERNANCE,1212;WB_832_ANTI_CORRUPTION,1212;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,1212;TAX_POLITICAL_PARTY_REPUBLICAN,876;TAX_POLITICAL_PARTY_REPUBLICAN,1265;TAX_POLITICAL_PARTY_REPUBLICAN,1443;TAX_POLITICAL_PARTY_REPUBLICAN,3042;TAKE_OFFICE,2393;EXTREMISM,1589;LEADER,2309;LEADER,3229;TAX_FNCACT_PRESIDENT,2309;TAX_FNCACT_PRESIDENT,3229;GENERAL_GOVERNMENT,1786;LGBT,1853;TAX_FNCACT_SECRETARY,682;TAX_FNCACT_SECRETARY,2893;","3#Grand Canyon, Arizona, United States#US#USAZ#AZ005#36.0544#-112.139#5213#163;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#7;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#223;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#602;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#907;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#1777;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#1836;2#Arizona, United States#US#USAZ##33.7712#-111.388#AZ#2566;3#Maricopa, Arizona, United States#US#USAZ#AZ021#33.0581#-112.048#7694#1038","Donald Trump,1563;Donald Trump,3242;Abraham Hamadeh,892;Kris Mayes,847;Mayes Hamadeh,2970;Janet Napolitano,1986","Associated Press,781","-0.716845878136201,3.2258064516129,3.9426523297491,7.16845878136201,18.9964157706093,0.17921146953405,503"
2023-01-02 15:15:00 UTC,https://www.msnbc.com/opinion/msnbc-opinion/democrats-missed-chances-roe-trump-taxes-last-congress-rcna60803,democrats missed chances roe trump taxes last congress rcna60803,"TAX_FNCACT_SENATORS,1714;TAX_POLITICAL_PARTY_REPUBLICANS,319;TAX_POLITICAL_PARTY_REPUBLICANS,3531;WB_696_PUBLIC_SECTOR_MANAGEMENT,2981;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,2981;WB_723_PUBLIC_ADMINISTRATION,2981;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,2981;WB_2089_ETHICS_AND_CODES_OF_CONDUCT,2981;ECON_TAXATION,1325;EPU_POLICY_TAX,1325;TAX_FNCACT_CHILD,1321;TAKE_OFFICE,36;DELAY,1443;CRIME_ILLEGAL_DRUGS,1222;DRUG_TRADE,1222;TAX_POLITICAL_PARTY_DEMOCRAT,1163;ARMEDCONFLICT,652;GENERAL_GOVERNMENT,206;GENERAL_GOVERNMENT,523;GENERAL_GOVERNMENT,1190;GENERAL_GOVERNMENT,2656;GENERAL_GOVERNMENT,2797;GENERAL_GOVERNMENT,3445;EPU_POLICY_CONGRESS,206;EPU_POLICY_CONGRESS,523;EPU_POLICY_CONGRESS,1190;EPU_POLICY_CONGRESS,2656;EPU_POLICY_CONGRESS,2797;EPU_POLICY_CONGRESS,3445;UNGP_FORESTS_RIVERS_OCEANS,1663;LEGISLATION,1428;LEGISLATION,1827;EPU_POLICY_LEGISLATION,1428;EPU_POLICY_LEGISLATION,1827;EPU_ECONOMY_HISTORIC,720;EPU_ECONOMY_HISTORIC,855;TAX_FNCACT_LEADER,399;CORRUPTION,2932;TAX_FNCACT_SPEAKER,433;KILL,1865;CRISISLEX_T03_DEAD,1865;LEADER,14;LEADER,2907;LEADER,3058;TAX_FNCACT_PRESIDENT,14;TAX_FNCACT_PRESIDENT,2907;TAX_FNCACT_PRESIDENT,3058;USPEC_POLITICS_GENERAL1,14;USPEC_POLITICS_GENERAL1,2907;USPEC_POLITICS_GENERAL1,3058;TAX_FNCACT_DICTATOR,3613;SLFID_DICTATORSHIP,3613;WB_678_DIGITAL_GOVERNMENT,3821;WB_670_ICT_SECURITY,3821;WB_2372_AUTHENTICATION_AND_AUTHORIZATION,3821;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,3821;EPU_POLICY_REFORM,1229;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,1272;WB_1462_WATER_SANITATION_AND_HYGIENE,1272;WB_635_PUBLIC_HEALTH,1272;WB_621_HEALTH_NUTRITION_AND_POPULATION,1272;WB_959_CLIMATE_CHANGE_LAW,1679;TAX_POLITICAL_PARTY_DEMOCRATS,118;TAX_POLITICAL_PARTY_DEMOCRATS,616;TAX_POLITICAL_PARTY_DEMOCRATS,784;TAX_POLITICAL_PARTY_DEMOCRATS,919;TAX_POLITICAL_PARTY_DEMOCRATS,1030;TAX_POLITICAL_PARTY_DEMOCRATS,1523;TAX_POLITICAL_PARTY_DEMOCRATS,3965;ENV_CLIMATECHANGE,1670;WB_567_CLIMATE_CHANGE,1670;CRISISLEX_CRISISLEXREC,1670;UNGP_CLIMATE_CHANGE_ACTION,1670;USPEC_UNCERTAINTY1,2105;TAX_FNCACT_INSPECTORS,3923;USPEC_POLICY1,1245;EPU_CATS_TAXES,1245;TAX_FNCACT_FILIBUSTER,1883;TAX_FNCACT_FILIBUSTER,2161;TAX_FNCACT_FILIBUSTER,2450;WB_1921_PRIVATE_SECTOR_DEVELOPMENT,1332;WB_382_TAX_CREDITS_AND_DIRECT_SUBSIDIES,1332;WB_376_INNOVATION_TECHNOLOGY_AND_ENTREPRENEURSHIP,1332;WB_377_FIRM_INNOVATION_PRODUCTIVITY_AND_GROWTH,1332;WB_380_FUNDING_INNOVATION,1332;TAX_POLITICAL_PARTY_REPUBLICAN,3378;UNGP_POLITICAL_FREEDOMS,3247;TAX_FNCACT_MAJORITY_LEADER,399;EPU_POLICY_WHITE_HOUSE,3664;EPU_POLICY_LAW,3497;","3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#3664;1#America#US#US##39.828175#-98.5795#US#756;1#America#US#US##39.828175#-98.5795#US#891;1#America#US#US##39.828175#-98.5795#US#4255","Donald Trump,3071;Richard Nixon,2921;Joe Manchin,1760;Nancy Pelosi,446;Joe Biden,24;Kyrsten Sinema,1731","Senate Majority Leader Chuck Schumer,413;Clean Electricity Payment Program,1300;National Defense Authorization,3821;White House,3664;Members Of Congress,2656","-2.83783783783784,3.37837837837838,6.21621621621622,9.59459459459459,23.2432432432432,0.27027027027027,684"
2023-01-02 15:15:00 UTC,https://www.msnbc.com/rachel-maddow-show/maddowblog/multiple-fronts-george-santos-troubles-are-intensifying-rcna63914,multiple fronts george santos troubles are intensifying rcna63914,"MANMADE_DISASTER_IMPLIED,2425;SOC_POINTSOFINTEREST_SCHOOL,2425;TAX_FNCACT_LEADERS,3478;TAX_FNCACT_DISTRICT_ATTORNEY,1255;TAX_FNCACT_DISTRICT_ATTORNEY,1352;SCANDAL,364;SCANDAL,1495;TAX_FNCACT_QUEENS,1319;TAX_FNCACT_ATTORNEYS,1930;GENERAL_GOVERNMENT,1009;EPU_POLICY_CONGRESS,1009;EDUCATION,2075;WB_470_EDUCATION,2075;KILL,2399;CRISISLEX_T03_DEAD,2399;CRISISLEX_CRISISLEXREC,654;CRISISLEX_C07_SAFETY,1592;TAX_FNCACT_PRESIDENT,2614;WB_2081_FINANCIAL_DISCLOSURE,946;WB_2019_ANTI_CORRUPTION_LEGISLATION,946;WB_2021_INCOME_AND_ASSET_DISCLOSURE,946;RETIREMENT,3105;WB_2690_CATEGORIES_OF_EMPLOYMENT,3105;WB_2670_JOBS,3105;WB_2689_JOBS_DIAGNOSTICS,3105;WB_2896_RETIREMENT,3105;WB_2024_ANTI_CORRUPTION_AUTHORITIES,480;WB_2024_ANTI_CORRUPTION_AUTHORITIES,1575;WB_2024_ANTI_CORRUPTION_AUTHORITIES,1951;WB_696_PUBLIC_SECTOR_MANAGEMENT,480;WB_696_PUBLIC_SECTOR_MANAGEMENT,1575;WB_696_PUBLIC_SECTOR_MANAGEMENT,1951;WB_840_JUSTICE,480;WB_840_JUSTICE,1575;WB_840_JUSTICE,1951;WB_2025_INVESTIGATION,480;WB_2025_INVESTIGATION,1575;WB_2025_INVESTIGATION,1951;WB_831_GOVERNANCE,480;WB_831_GOVERNANCE,1575;WB_831_GOVERNANCE,1951;WB_832_ANTI_CORRUPTION,480;WB_832_ANTI_CORRUPTION,1575;WB_832_ANTI_CORRUPTION,1951;WB_1014_CRIMINAL_JUSTICE,480;WB_1014_CRIMINAL_JUSTICE,1575;WB_1014_CRIMINAL_JUSTICE,1951;TRIAL,563;TRIAL,848;TRIAL,1072;TAX_FNCACT_PROSECUTORS,563;TAX_FNCACT_PROSECUTORS,848;TAX_FNCACT_PROSECUTORS,1072;EPU_POLICY_POLITICAL,304;EPU_POLICY_POLITICAL,3547;RESIGNATION,3174;MEDIA_MSM,132;TAX_FNCACT_PRESS_SECRETARY,2533;LEADER,504;TAX_FNCACT_POLITICIAN,504;TAX_DISEASE_COVID,2472;TAX_FNCACT_CHAIRMAN,3262;TAX_FNCACT_POLITICO,3418;TAX_FNCACT_ATTORNEY,1255;TAX_FNCACT_ATTORNEY,1352;TAX_FNCACT_ATTORNEY,1438;TAX_FNCACT_CRIMINAL,465;TAX_POLITICAL_PARTY_REPUBLICAN,158;TAX_POLITICAL_PARTY_REPUBLICAN,2050;TAX_POLITICAL_PARTY_REPUBLICAN,2868;TAX_POLITICAL_PARTY_REPUBLICAN,3062;TAX_POLITICAL_PARTY_REPUBLICAN,3359;USPEC_POLITICS_GENERAL1,158;USPEC_POLITICS_GENERAL1,2050;USPEC_POLITICS_GENERAL1,2868;USPEC_POLITICS_GENERAL1,3062;USPEC_POLITICS_GENERAL1,3359;SOC_POINTSOFINTEREST_HIGH_SCHOOL,2425;SECURITY_SERVICES,654;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,654;WB_328_FINANCIAL_INTEGRITY,654;WB_2082_LAW_ENFORCEMENT,654;LEGISLATION,642;LEGISLATION,1820;EPU_POLICY_LAW,642;EPU_POLICY_LAW,1820;TAX_FNCACT_OFFICIALS,2773;TAX_ETHNICITY_BLACK,2498;TAX_FNCACT_SECRETARY,2533;","3#Long Island, Texas, United States#US#USTX#TX057#28.3492#-96.5878#1340475#3191;2#New York, United States#US#USNY##42.1497#-74.9384#NY#147;2#New York, United States#US#USNY##42.1497#-74.9384#NY#575;2#New York, United States#US#USNY##42.1497#-74.9384#NY#1110;2#New York, United States#US#USNY##42.1497#-74.9384#NY#1280;2#New York, United States#US#USNY##42.1497#-74.9384#NY#1429;2#New York, United States#US#USNY##42.1497#-74.9384#NY#1627;4#Cairo, Al Qahirah, Egypt#EG#EG11#65350#30.05#31.25#-290692#3272;3#Queens, New York, United States#US#USNY#NY081#40.7498#-73.7976#971983#1319;2#Texan, United States#US#USTX##31.106#-97.6475#TX#2989;3#Nassau County, New York, United States#US#USNY#NY059#40.7507#-73.5829#974128#1222;3#Nassau County, New York, United States#US#USNY#NY059#40.7507#-73.5829#974128#3234","George Santos,634;George Santos,3400;George Santo,23;Joe Biden,2624;Pete Sessions,2887;Kevin Brady,3079","New York Times,1633","-6.15384615384615,0.683760683760684,6.83760683760684,7.52136752136752,20.6837606837607,0.512820512820513,560"
2023-01-02 15:15:00 UTC,https://www.msnbc.com/rachel-maddow-show/maddowblog/newly-released-tax-returns-clearly-dont-trump-favors-rcna63921,newly released tax returns clearly dont trump favors rcna63921,"EDUCATION,4642;TAX_FNCACT_PROFESSOR,4642;WB_678_DIGITAL_GOVERNMENT,393;WB_694_BROADCAST_AND_MEDIA,393;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,393;ECON_TAXATION,70;ECON_TAXATION,476;ECON_TAXATION,852;ECON_TAXATION,937;ECON_TAXATION,1488;ECON_TAXATION,1998;ECON_TAXATION,2361;ECON_TAXATION,2499;ECON_TAXATION,3363;ECON_TAXATION,4886;USPEC_POLICY1,70;USPEC_POLICY1,476;USPEC_POLICY1,852;USPEC_POLICY1,937;USPEC_POLICY1,1488;USPEC_POLICY1,1998;USPEC_POLICY1,2361;USPEC_POLICY1,2499;USPEC_POLICY1,3363;USPEC_POLICY1,4886;EPU_POLICY_TAX,70;EPU_POLICY_TAX,476;EPU_POLICY_TAX,852;EPU_POLICY_TAX,937;EPU_POLICY_TAX,1488;EPU_POLICY_TAX,1998;EPU_POLICY_TAX,2361;EPU_POLICY_TAX,2499;EPU_POLICY_TAX,3363;EPU_POLICY_TAX,4886;EPU_CATS_TAXES,70;EPU_CATS_TAXES,476;EPU_CATS_TAXES,852;EPU_CATS_TAXES,937;EPU_CATS_TAXES,1488;EPU_CATS_TAXES,1998;EPU_CATS_TAXES,2361;EPU_CATS_TAXES,2499;EPU_CATS_TAXES,3363;EPU_CATS_TAXES,4886;TAX_WORLDLANGUAGES_AZERBAIJAN,4209;TAX_ETHNICITY_AMERICANS,1882;TAX_FNCACT_BUSINESSMAN,1342;TAX_FNCACT_POLITICIAN,1285;CRISISLEX_CRISISLEXREC,1446;EPU_ECONOMY_HISTORIC,1019;CORRUPTION,1513;WB_2019_ANTI_CORRUPTION_LEGISLATION,1513;WB_696_PUBLIC_SECTOR_MANAGEMENT,1513;WB_831_GOVERNANCE,1513;WB_832_ANTI_CORRUPTION,1513;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,1513;SOC_POINTSOFINTEREST_UNIVERSITY,4665;TAX_POLITICAL_PARTY_REPUBLICAN,371;TAX_POLITICAL_PARTY_REPUBLICAN,1182;TAX_POLITICAL_PARTY_REPUBLICAN,2620;TAX_POLITICAL_PARTY_REPUBLICAN,4363;TAX_FNCACT_MODERATOR,2650;LEADER,136;LEADER,558;LEADER,2106;LEADER,2344;LEADER,2733;LEADER,3914;TAX_FNCACT_PRESIDENT,136;TAX_FNCACT_PRESIDENT,558;TAX_FNCACT_PRESIDENT,2106;TAX_FNCACT_PRESIDENT,2344;TAX_FNCACT_PRESIDENT,2733;TAX_FNCACT_PRESIDENT,3914;USPEC_POLITICS_GENERAL1,136;USPEC_POLITICS_GENERAL1,558;USPEC_POLITICS_GENERAL1,2106;USPEC_POLITICS_GENERAL1,2344;USPEC_POLITICS_GENERAL1,2733;USPEC_POLITICS_GENERAL1,3914;WB_1121_TAXATION,4632;WB_439_MACROECONOMIC_AND_STRUCTURAL_POLICIES,4632;WB_445_FISCAL_POLICY,4632;SCANDAL,4601;TAX_ETHNICITY_ARAB,4304;TAX_FNCACT_MAN,1627;EPU_POLICY_WHITE_HOUSE,2987;EPU_POLICY_WHITE_HOUSE,4001;UNGP_FORESTS_RIVERS_OCEANS,771;MEDIA_SOCIAL,393;WB_652_ICT_APPLICATIONS,393;WB_662_SOCIAL_MEDIA,393;WB_658_ENTERPRISE_APPLICATIONS,393;RATIFY,1896;","1#India#IN#IN##20#77#IN#4225;1#United Kingdom#UK#UK##54#-4#UK#3490;1#Americans#US#US##39.828175#-98.5795#US#1882;2#New York, United States#US#USNY##42.1497#-74.9384#NY#827;2#New York, United States#US#USNY##42.1497#-74.9384#NY#4654;1#Turkey#TU#TU##39.059012#34.911546#TU#4286;3#New York University, New York, United States#US#USNY#NY061#40.7287#-73.996#958483#4665;1#Ireland#EI#EI##53#-8#EI#3509;1#Philippines#RP#RP##13#122#RP#4264;1#Canada#CA#CA##60#-96#CA#3499;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#2987;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#4001;1#Indonesia#ID#ID##-5#120#ID#4237;1#Panama#PM#PM##9#-80#PM#4246;3#Washington, Washington, United States#US#USDC#DC001#38.8951#-77.0364#531871#3078;1#Azerbaijan#AJ#AJ##40.5#47.5#AJ#4209;1#United Arab Emirates#AE#AE##24#54#AE#4313;1#China#CH#CH##35#105#CH#3753;1#China#CH#CH##35#105#CH#3797;1#China#CH#CH##35#105#CH#3968;1#China#CH#CH##35#105#CH#4217","Daniel Shaviro,4619;Chris Wallace,2556;Donald Trump,12;Donald Trump,2357;Melania Trump,3393;Joe Biden,3924","New York Times,833;Means Committee,224;White House,2987;White House,4001;York University,4665","-3.93974507531866,1.8539976825029,5.79374275782155,7.64774044032445,20.973348783314,0.579374275782155,775"
