network,period,Positive_VADER,Count,Mean tone,Mean vader_tone
ABC News,After Election,0.6420664206642066,271,-2.249838971297561,0.2748520295202952
ABC News,Before Election,0.6226415094339622,212,-2.813243130649953,0.23170283018867927
Fox News,After Election,0.6786729857819905,1055,-1.6714790881132628,0.33594047393364895
Fox News,Before Election,0.6468085106382979,940,-1.8967754133140635,0.2844075531914898
MSNBC,After Election,0.6419939577039275,662,-2.3715827305581563,0.17739728096676735
MSNBC,Before Election,0.5021037868162693,713,-3.0728806278317116,-0.020444600280504915
