month,year,topic,topic_id,rank,count,total_articles,percentage,source
6,2019,dead/latest,0,3,205,1000,20.5,fox
7,2019,democrats/trump,1,1,257,1000,25.7,fox
7,2019,man/police,3,2,235,1000,23.5,fox
7,2019,gun/trump,0,3,196,1000,19.6,fox
8,2019,democrats/trump,1,1,257,1000,25.7,fox
8,2019,man/police,3,2,235,1000,23.5,fox
8,2019,gun/trump,0,3,196,1000,19.6,fox
9,2019,democrats/trump,1,1,257,1000,25.7,fox
9,2019,man/police,3,2,235,1000,23.5,fox
9,2019,gun/trump,0,3,196,1000,19.6,fox
10,2019,impeachment/trump,4,1,237,1000,23.7,fox
10,2019,christmas/new,1,2,226,1000,22.6,fox
10,2019,florida/police,2,3,198,1000,19.8,fox
11,2019,impeachment/trump,4,1,237,1000,23.7,fox
11,2019,christmas/new,1,2,226,1000,22.6,fox
11,2019,florida/police,2,3,198,1000,19.8,fox
12,2019,impeachment/trump,4,1,237,1000,23.7,fox
12,2019,christmas/new,1,2,226,1000,22.6,fox
12,2019,florida/police,2,3,198,1000,19.8,fox
1,2020,coronavirus/outbreak,2,1,273,1000,27.3,fox
1,2020,impeachment/trump,0,2,240,1000,24.0,fox
1,2020,new/york,1,3,165,1000,16.5,fox
2,2020,coronavirus/outbreak,2,1,273,1000,27.3,fox
2,2020,impeachment/trump,0,2,240,1000,24.0,fox
2,2020,new/york,1,3,165,1000,16.5,fox
3,2020,coronavirus/outbreak,2,1,273,1000,27.3,fox
3,2020,impeachment/trump,0,2,240,1000,24.0,fox
3,2020,new/york,1,3,165,1000,16.5,fox
4,2020,coronavirus/police,1,1,301,1000,30.099999999999998,fox
4,2020,coronavirus/trump,2,2,195,1000,19.5,fox
4,2020,coronavirus/new,0,3,179,1000,17.9,fox
5,2020,coronavirus/police,1,1,301,1000,30.099999999999998,fox
5,2020,coronavirus/trump,2,2,195,1000,19.5,fox
5,2020,coronavirus/new,0,3,179,1000,17.9,fox
6,2020,coronavirus/police,1,1,301,1000,30.099999999999998,fox
6,2020,coronavirus/trump,2,2,195,1000,19.5,fox
6,2020,coronavirus/new,0,3,179,1000,17.9,fox
7,2020,biden/trump,4,1,250,1000,25.0,fox
7,2020,court/supreme court,3,2,211,1000,21.099999999999998,fox
7,2020,coronavirus/police,2,3,208,1000,20.8,fox
8,2020,biden/trump,4,1,250,1000,25.0,fox
8,2020,court/supreme court,3,2,211,1000,21.099999999999998,fox
8,2020,coronavirus/police,2,3,208,1000,20.8,fox
9,2020,biden/trump,4,1,250,1000,25.0,fox
9,2020,court/supreme court,3,2,211,1000,21.099999999999998,fox
9,2020,coronavirus/police,2,3,208,1000,20.8,fox
10,2020,election/trump,4,1,222,1000,22.2,fox
10,2020,biden/trump,2,2,217,1000,21.7,fox
10,2020,biden/trump,3,3,204,1000,20.4,fox
11,2020,election/trump,4,1,222,1000,22.2,fox
11,2020,biden/trump,2,2,217,1000,21.7,fox
11,2020,biden/trump,3,3,204,1000,20.4,fox
12,2020,election/trump,4,1,222,1000,22.2,fox
12,2020,biden/trump,2,2,217,1000,21.7,fox
12,2020,biden/trump,3,3,204,1000,20.4,fox
1,2021,biden/trump,1,1,249,1000,24.9,fox
1,2021,covid/covid 19,4,2,222,1000,22.2,fox
1,2021,2021/meghan,2,3,191,1000,19.1,fox
2,2021,biden/trump,1,1,249,1000,24.9,fox
2,2021,covid/covid 19,4,2,222,1000,22.2,fox
2,2021,2021/meghan,2,3,191,1000,19.1,fox
3,2021,biden/trump,1,1,249,1000,24.9,fox
3,2021,covid/covid 19,4,2,222,1000,22.2,fox
3,2021,2021/meghan,2,3,191,1000,19.1,fox
4,2021,covid/covid 19,3,1,228,1000,22.8,fox
4,2021,biden/harris,0,2,216,1000,21.6,fox
4,2021,police/shooting,1,3,203,1000,20.3,fox
5,2021,covid/covid 19,3,1,228,1000,22.8,fox
5,2021,biden/harris,0,2,216,1000,21.6,fox
5,2021,police/shooting,1,3,203,1000,20.3,fox
6,2021,covid/covid 19,3,1,228,1000,22.8,fox
6,2021,biden/harris,0,2,216,1000,21.6,fox
6,2021,police/shooting,1,3,203,1000,20.3,fox
7,2021,afghanistan/taliban,4,1,240,1000,24.0,fox
7,2021,murder/police,0,2,213,1000,21.3,fox
7,2021,covid/covid 19,2,3,202,1000,20.200000000000003,fox
8,2021,afghanistan/taliban,4,1,240,1000,24.0,fox
8,2021,murder/police,0,2,213,1000,21.3,fox
8,2021,covid/covid 19,2,3,202,1000,20.200000000000003,fox
9,2021,afghanistan/taliban,4,1,240,1000,24.0,fox
9,2021,murder/police,0,2,213,1000,21.3,fox
9,2021,covid/covid 19,2,3,202,1000,20.200000000000003,fox
10,2021,new/school,3,1,221,1000,22.1,fox
10,2021,biden/democrats,1,2,203,1000,20.3,fox
10,2021,house/white,0,3,203,1000,20.3,fox
11,2021,new/school,3,1,221,1000,22.1,fox
11,2021,biden/democrats,1,2,203,1000,20.3,fox
11,2021,house/white,0,3,203,1000,20.3,fox
12,2021,new/school,3,1,221,1000,22.1,fox
12,2021,biden/democrats,1,2,203,1000,20.3,fox
12,2021,house/white,0,3,203,1000,20.3,fox
1,2022,russia/ukraine,0,1,270,1000,27.0,fox
1,2022,biden/house,4,2,233,1000,23.3,fox
1,2022,biden/china,2,3,195,1000,19.5,fox
2,2022,russia/ukraine,0,1,270,1000,27.0,fox
2,2022,biden/house,4,2,233,1000,23.3,fox
2,2022,biden/china,2,3,195,1000,19.5,fox
3,2022,russia/ukraine,0,1,270,1000,27.0,fox
3,2022,biden/house,4,2,233,1000,23.3,fox
3,2022,biden/china,2,3,195,1000,19.5,fox
4,2022,police/shooting,0,1,235,1000,23.5,fox
4,2022,court/supreme court,2,2,212,1000,21.2,fox
4,2022,border/ukraine,1,3,201,1000,20.1,fox
5,2022,police/shooting,0,1,235,1000,23.5,fox
5,2022,court/supreme court,2,2,212,1000,21.2,fox
5,2022,border/ukraine,1,3,201,1000,20.1,fox
6,2022,police/shooting,0,1,235,1000,23.5,fox
6,2022,court/supreme court,2,2,212,1000,21.2,fox
6,2022,border/ukraine,1,3,201,1000,20.1,fox
7,2022,house/white,4,1,226,1000,22.6,fox
7,2022,police/trump,1,2,209,1000,20.9,fox
7,2022,biden/president,0,3,204,1000,20.4,fox
8,2022,house/white,4,1,226,1000,22.6,fox
8,2022,police/trump,1,2,209,1000,20.9,fox
8,2022,biden/president,0,3,204,1000,20.4,fox
9,2022,house/white,4,1,226,1000,22.6,fox
9,2022,police/trump,1,2,209,1000,20.9,fox
9,2022,biden/president,0,3,204,1000,20.4,fox
10,2022,biden/police,4,1,251,1000,25.1,fox
10,2022,election/trump,0,2,206,1000,20.599999999999998,fox
10,2022,biden/new,1,3,193,1000,19.3,fox
11,2022,biden/police,4,1,251,1000,25.1,fox
11,2022,election/trump,0,2,206,1000,20.599999999999998,fox
11,2022,biden/new,1,3,193,1000,19.3,fox
12,2022,biden/police,4,1,251,1000,25.1,fox
12,2022,election/trump,0,2,206,1000,20.599999999999998,fox
12,2022,biden/new,1,3,193,1000,19.3,fox
1,2023,border/china,0,1,222,1000,22.2,fox
1,2023,man/police,1,2,212,1000,21.2,fox
1,2023,biden/house,2,3,203,1000,20.3,fox
2,2023,border/china,0,1,222,1000,22.2,fox
2,2023,man/police,1,2,212,1000,21.2,fox
2,2023,biden/house,2,3,203,1000,20.3,fox
3,2023,border/china,0,1,222,1000,22.2,fox
3,2023,man/police,1,2,212,1000,21.2,fox
3,2023,biden/house,2,3,203,1000,20.3,fox
4,2023,china/new,4,1,227,1000,22.7,fox
4,2023,man/police,0,2,219,1000,21.9,fox
4,2023,biden/house,2,3,204,1000,20.4,fox
5,2023,china/new,4,1,227,1000,22.7,fox
5,2023,man/police,0,2,219,1000,21.9,fox
5,2023,biden/house,2,3,204,1000,20.4,fox
6,2023,china/new,4,1,227,1000,22.7,fox
6,2023,man/police,0,2,219,1000,21.9,fox
6,2023,biden/house,2,3,204,1000,20.4,fox
7,2023,gop/man,0,1,241,1000,24.099999999999998,fox
7,2023,biden/house,3,2,207,1000,20.7,fox
7,2023,border/new,1,3,186,1000,18.6,fox
8,2023,gop/man,0,1,241,1000,24.099999999999998,fox
8,2023,biden/house,3,2,207,1000,20.7,fox
8,2023,border/new,1,3,186,1000,18.6,fox
9,2023,gop/man,0,1,241,1000,24.099999999999998,fox
9,2023,biden/house,3,2,207,1000,20.7,fox
9,2023,border/new,1,3,186,1000,18.6,fox
10,2023,man/new,1,1,254,1000,25.4,fox
10,2023,biden/israel,2,2,249,1000,24.9,fox
10,2023,hamas/report,0,3,194,1000,19.400000000000002,fox
11,2023,man/new,1,1,254,1000,25.4,fox
11,2023,biden/israel,2,2,249,1000,24.9,fox
11,2023,hamas/report,0,3,194,1000,19.400000000000002,fox
12,2023,man/new,1,1,254,1000,25.4,fox
12,2023,biden/israel,2,2,249,1000,24.9,fox
12,2023,hamas/report,0,3,194,1000,19.400000000000002,fox
1,2024,biden/house,4,1,223,1000,22.3,fox
1,2024,news/trump,1,2,202,1000,20.200000000000003,fox
1,2024,dead/new,2,3,198,1000,19.8,fox
2,2024,biden/house,4,1,223,1000,22.3,fox
2,2024,news/trump,1,2,202,1000,20.200000000000003,fox
2,2024,dead/new,2,3,198,1000,19.8,fox
3,2024,biden/house,4,1,223,1000,22.3,fox
3,2024,news/trump,1,2,202,1000,20.200000000000003,fox
3,2024,dead/new,2,3,198,1000,19.8,fox
4,2024,biden/trump,3,1,257,1000,25.7,fox
4,2024,biden/police,1,2,208,1000,20.8,fox
4,2024,biden/trump,4,3,197,1000,19.7,fox
5,2024,biden/trump,3,1,257,1000,25.7,fox
5,2024,biden/police,1,2,208,1000,20.8,fox
5,2024,biden/trump,4,3,197,1000,19.7,fox
6,2024,biden/trump,3,1,257,1000,25.7,fox
6,2024,biden/police,1,2,208,1000,20.8,fox
6,2024,biden/trump,4,3,197,1000,19.7,fox
7,2024,biden/house,0,1,223,1000,22.3,fox
7,2024,harris/trump,3,2,220,1000,22.0,fox
7,2024,man/star,4,3,203,1000,20.3,fox
8,2024,biden/house,0,1,223,1000,22.3,fox
8,2024,harris/trump,3,2,220,1000,22.0,fox
8,2024,man/star,4,3,203,1000,20.3,fox
9,2024,biden/house,0,1,223,1000,22.3,fox
9,2024,harris/trump,3,2,220,1000,22.0,fox
9,2024,man/star,4,3,203,1000,20.3,fox
10,2024,biden/trump,0,1,231,1000,23.1,fox
10,2024,harris/trump,1,2,214,1000,21.4,fox
10,2024,new/news,4,3,196,1000,19.6,fox
11,2024,biden/trump,0,1,231,1000,23.1,fox
11,2024,harris/trump,1,2,214,1000,21.4,fox
11,2024,new/news,4,3,196,1000,19.6,fox
12,2024,biden/trump,0,1,231,1000,23.1,fox
12,2024,harris/trump,1,2,214,1000,21.4,fox
12,2024,new/news,4,3,196,1000,19.6,fox
1,2025,trump/trumps,1,1,267,1000,26.700000000000003,fox
1,2025,trump/white,3,2,203,1000,20.3,fox
1,2025,police/trump,2,3,194,1000,19.400000000000002,fox
2,2025,trump/trumps,1,1,267,1000,26.700000000000003,fox
2,2025,trump/white,3,2,203,1000,20.3,fox
2,2025,police/trump,2,3,194,1000,19.400000000000002,fox
3,2025,trump/trumps,1,1,267,1000,26.700000000000003,fox
3,2025,trump/white,3,2,203,1000,20.3,fox
3,2025,police/trump,2,3,194,1000,19.400000000000002,fox
4,2025,says/trump,0,1,33,79,41.77215189873418,fox
4,2025,expert/new,2,2,24,79,30.37974683544304,fox
4,2025,trump/trump admin,1,3,22,79,27.848101265822784,fox
2,2015,court/police,0,1,226,1000,22.6,abc
2,2015,stocks/woman,2,2,207,1000,20.7,abc
2,2015,gop/state,4,3,197,1000,19.7,abc
3,2015,court/police,0,1,226,1000,22.6,abc
3,2015,stocks/woman,2,2,207,1000,20.7,abc
3,2015,gop/state,4,3,197,1000,19.7,abc
4,2015,police/shooting,1,1,236,1000,23.599999999999998,abc
4,2015,latest/year,2,2,200,1000,20.0,abc
4,2015,house/obama,3,3,196,1000,19.6,abc
5,2015,police/shooting,1,1,236,1000,23.599999999999998,abc
5,2015,latest/year,2,2,200,1000,20.0,abc
5,2015,house/obama,3,3,196,1000,19.6,abc
6,2015,police/shooting,1,1,236,1000,23.599999999999998,abc
6,2015,latest/year,2,2,200,1000,20.0,abc
6,2015,house/obama,3,3,196,1000,19.6,abc
7,2015,case/year,0,1,218,1000,21.8,abc
7,2015,death/police,1,2,207,1000,20.7,abc
7,2015,clinton/trump,3,3,198,1000,19.8,abc
8,2015,case/year,0,1,218,1000,21.8,abc
8,2015,death/police,1,2,207,1000,20.7,abc
8,2015,clinton/trump,3,3,198,1000,19.8,abc
9,2015,case/year,0,1,218,1000,21.8,abc
9,2015,death/police,1,2,207,1000,20.7,abc
9,2015,clinton/trump,3,3,198,1000,19.8,abc
10,2015,killed/shooting,1,1,219,1000,21.9,abc
10,2015,court/police,4,2,206,1000,20.599999999999998,abc
10,2015,latest/police,3,3,203,1000,20.3,abc
11,2015,killed/shooting,1,1,219,1000,21.9,abc
11,2015,court/police,4,2,206,1000,20.599999999999998,abc
11,2015,latest/police,3,3,203,1000,20.3,abc
12,2015,killed/shooting,1,1,219,1000,21.9,abc
12,2015,court/police,4,2,206,1000,20.599999999999998,abc
12,2015,latest/police,3,3,203,1000,20.3,abc
1,2016,man/police,3,1,243,1000,24.3,abc
1,2016,president/state,0,2,215,1000,21.5,abc
1,2016,court/trump,1,3,200,1000,20.0,abc
2,2016,man/police,3,1,243,1000,24.3,abc
2,2016,president/state,0,2,215,1000,21.5,abc
2,2016,court/trump,1,3,200,1000,20.0,abc
3,2016,man/police,3,1,243,1000,24.3,abc
3,2016,president/state,0,2,215,1000,21.5,abc
3,2016,court/trump,1,3,200,1000,20.0,abc
4,2016,police/shooting,1,1,239,1000,23.9,abc
4,2016,obama/trump,0,2,199,1000,19.900000000000002,abc
4,2016,killed/state,2,3,196,1000,19.6,abc
5,2016,police/shooting,1,1,239,1000,23.9,abc
5,2016,obama/trump,0,2,199,1000,19.900000000000002,abc
5,2016,killed/state,2,3,196,1000,19.6,abc
6,2016,police/shooting,1,1,239,1000,23.9,abc
6,2016,obama/trump,0,2,199,1000,19.900000000000002,abc
6,2016,killed/state,2,3,196,1000,19.6,abc
7,2016,court/death,2,1,217,1000,21.7,abc
7,2016,killed/police,1,2,214,1000,21.4,abc
7,2016,clinton/trump,0,3,201,1000,20.1,abc
8,2016,court/death,2,1,217,1000,21.7,abc
8,2016,killed/police,1,2,214,1000,21.4,abc
8,2016,clinton/trump,0,3,201,1000,20.1,abc
9,2016,court/death,2,1,217,1000,21.7,abc
9,2016,killed/police,1,2,214,1000,21.4,abc
9,2016,clinton/trump,0,3,201,1000,20.1,abc
10,2016,death/killed,4,1,220,1000,22.0,abc
10,2016,man/police,2,2,203,1000,20.3,abc
10,2016,clinton/trump,3,3,192,1000,19.2,abc
11,2016,death/killed,4,1,220,1000,22.0,abc
11,2016,man/police,2,2,203,1000,20.3,abc
11,2016,clinton/trump,3,3,192,1000,19.2,abc
12,2016,death/killed,4,1,220,1000,22.0,abc
12,2016,man/police,2,2,203,1000,20.3,abc
12,2016,clinton/trump,3,3,192,1000,19.2,abc
1,2017,latest/man,1,1,218,1000,21.8,abc
1,2017,police/shooting,2,2,201,1000,20.1,abc
1,2017,dies/trump,4,3,200,1000,20.0,abc
2,2017,latest/man,1,1,218,1000,21.8,abc
2,2017,police/shooting,2,2,201,1000,20.1,abc
2,2017,dies/trump,4,3,200,1000,20.0,abc
3,2017,latest/man,1,1,218,1000,21.8,abc
3,2017,police/shooting,2,2,201,1000,20.1,abc
3,2017,dies/trump,4,3,200,1000,20.0,abc
4,2017,latest/trump,3,1,223,1000,22.3,abc
4,2017,killed/police,1,2,207,1000,20.7,abc
4,2017,ban/trump,0,3,197,1000,19.7,abc
5,2017,latest/trump,3,1,223,1000,22.3,abc
5,2017,killed/police,1,2,207,1000,20.7,abc
5,2017,ban/trump,0,3,197,1000,19.7,abc
6,2017,latest/trump,3,1,223,1000,22.3,abc
6,2017,killed/police,1,2,207,1000,20.7,abc
6,2017,ban/trump,0,3,197,1000,19.7,abc
7,2017,man/woman,0,1,216,1000,21.6,abc
7,2017,house/trump,1,2,206,1000,20.599999999999998,abc
7,2017,hurricane/police,2,3,200,1000,20.0,abc
8,2017,man/woman,0,1,216,1000,21.6,abc
8,2017,house/trump,1,2,206,1000,20.599999999999998,abc
8,2017,hurricane/police,2,3,200,1000,20.0,abc
9,2017,man/woman,0,1,216,1000,21.6,abc
9,2017,house/trump,1,2,206,1000,20.599999999999998,abc
9,2017,hurricane/police,2,3,200,1000,20.0,abc
10,2017,killed/police,0,1,239,1000,23.9,abc
10,2017,death/shooting,2,2,200,1000,20.0,abc
10,2017,president/year,4,3,194,1000,19.400000000000002,abc
11,2017,killed/police,0,1,239,1000,23.9,abc
11,2017,death/shooting,2,2,200,1000,20.0,abc
11,2017,president/year,4,3,194,1000,19.400000000000002,abc
12,2017,killed/police,0,1,239,1000,23.9,abc
12,2017,death/shooting,2,2,200,1000,20.0,abc
12,2017,president/year,4,3,194,1000,19.400000000000002,abc
1,2018,police/shooting,3,1,241,1000,24.099999999999998,abc
1,2018,president/trump,2,2,199,1000,19.900000000000002,abc
1,2018,man/official,4,3,192,1000,19.2,abc
2,2018,police/shooting,3,1,241,1000,24.099999999999998,abc
2,2018,president/trump,2,2,199,1000,19.900000000000002,abc
2,2018,man/official,4,3,192,1000,19.2,abc
3,2018,police/shooting,3,1,241,1000,24.099999999999998,abc
3,2018,president/trump,2,2,199,1000,19.900000000000002,abc
3,2018,man/official,4,3,192,1000,19.2,abc
4,2018,latest/leader,2,1,226,1000,22.6,abc
4,2018,house/trump,0,2,222,1000,22.2,abc
4,2018,president/trump,4,3,195,1000,19.5,abc
5,2018,latest/leader,2,1,226,1000,22.6,abc
5,2018,house/trump,0,2,222,1000,22.2,abc
5,2018,president/trump,4,3,195,1000,19.5,abc
6,2018,latest/leader,2,1,226,1000,22.6,abc
6,2018,house/trump,0,2,222,1000,22.2,abc
6,2018,president/trump,4,3,195,1000,19.5,abc
7,2018,man/russia,2,1,219,1000,21.9,abc
7,2018,china/trump,3,2,216,1000,21.6,abc
7,2018,president/trump,1,3,198,1000,19.8,abc
8,2018,man/russia,2,1,219,1000,21.9,abc
8,2018,china/trump,3,2,216,1000,21.6,abc
8,2018,president/trump,1,3,198,1000,19.8,abc
9,2018,man/russia,2,1,219,1000,21.9,abc
9,2018,china/trump,3,2,216,1000,21.6,abc
9,2018,president/trump,1,3,198,1000,19.8,abc
10,2018,border/china,2,1,220,1000,22.0,abc
10,2018,stocks/year,3,2,215,1000,21.5,abc
10,2018,president/trump,0,3,194,1000,19.400000000000002,abc
11,2018,border/china,2,1,220,1000,22.0,abc
11,2018,stocks/year,3,2,215,1000,21.5,abc
11,2018,president/trump,0,3,194,1000,19.400000000000002,abc
12,2018,border/china,2,1,220,1000,22.0,abc
12,2018,stocks/year,3,2,215,1000,21.5,abc
12,2018,president/trump,0,3,194,1000,19.400000000000002,abc
1,2019,arrested/police,1,1,229,1000,22.900000000000002,abc
1,2019,house/president,0,2,227,1000,22.7,abc
1,2019,man/texas,2,3,197,1000,19.7,abc
