month,year,topic,topic_id,rank,count,total_articles,percentage
3,2017,rockers compete eurovision / revolution 20 years / berlin opens russia,3,3,42,1000,4.2
3,2018,seeks death suspect / malaysia plane / winter storms spread,2,1,322,1000,32.2
3,2018,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,2,55,1000,5.5
3,2018,rockers compete eurovision / revolution 20 years / berlin opens russia,3,3,45,1000,4.5
3,2019,seeks death suspect / malaysia plane / winter storms spread,2,1,351,1000,35.099999999999994
3,2019,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,2,60,1000,6.0
3,2019,rockers compete eurovision / revolution 20 years / berlin opens russia,3,3,26,1000,2.6
3,2020,emergency ebola / gmo mosquito test / 29868478 audit maryland,0,1,338,1000,33.800000000000004
3,2020,seeks death suspect / malaysia plane / winter storms spread,2,2,147,1000,14.7
3,2020,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,3,56,1000,5.6000000000000005
3,2021,seeks death suspect / malaysia plane / winter storms spread,2,1,231,1000,23.1
3,2021,emergency ebola / gmo mosquito test / 29868478 audit maryland,0,2,144,1000,14.399999999999999
3,2021,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,3,72,1000,7.199999999999999
3,2022,seeks death suspect / malaysia plane / winter storms spread,2,1,249,1000,24.9
3,2022,rockers compete eurovision / revolution 20 years / berlin opens russia,3,2,170,1000,17.0
3,2022,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,3,65,1000,6.5
3,2023,seeks death suspect / malaysia plane / winter storms spread,2,1,320,1000,32.0
3,2023,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,2,75,1000,7.5
3,2023,rockers compete eurovision / revolution 20 years / berlin opens russia,3,3,65,1000,6.5
3,2024,seeks death suspect / malaysia plane / winter storms spread,2,1,387,1000,38.7
3,2024,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,2,68,1000,6.800000000000001
3,2024,rockers compete eurovision / revolution 20 years / berlin opens russia,3,3,49,1000,4.9
3,2025,seeks death suspect / malaysia plane / winter storms spread,2,1,270,1000,27.0
3,2025,ringling bros circuses / music hitmaker toby / kerrigan tonya,5,2,89,1000,8.9
3,2025,rockers compete eurovision / revolution 20 years / berlin opens russia,3,3,44,1000,4.3999999999999995
4,2015,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,261,1000,26.1
4,2015,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,2,81,1000,8.1
4,2015,citizens headed syria / police alert stabbing / buffs civil war,2,3,76,1000,7.6
4,2016,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,297,1000,29.7
4,2016,citizens headed syria / police alert stabbing / buffs civil war,2,2,85,1000,8.5
4,2016,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,85,1000,8.5
4,2017,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,251,1000,25.1
4,2017,citizens headed syria / police alert stabbing / buffs civil war,2,2,102,1000,10.2
4,2017,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,82,1000,8.200000000000001
4,2018,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,281,1000,28.1
4,2018,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,2,72,1000,7.199999999999999
4,2018,citizens headed syria / police alert stabbing / buffs civil war,2,3,72,1000,7.199999999999999
4,2019,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,281,1000,28.1
4,2019,citizens headed syria / police alert stabbing / buffs civil war,2,2,73,1000,7.3
4,2019,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,55,1000,5.5
4,2020,ebola worry / blue bell listeria / california lawmakers face,0,1,353,1000,35.3
4,2020,police 30090540 deaths / settled elite nyc / filed divorce prison,6,2,125,1000,12.5
4,2020,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,74,1000,7.3999999999999995
4,2021,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,219,1000,21.9
4,2021,ebola worry / blue bell listeria / california lawmakers face,0,2,117,1000,11.700000000000001
4,2021,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,83,1000,8.3
4,2022,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,225,1000,22.5
4,2022,citizens headed syria / police alert stabbing / buffs civil war,2,2,127,1000,12.7
4,2022,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,62,1000,6.2
4,2023,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,318,1000,31.8
4,2023,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,2,88,1000,8.799999999999999
4,2023,citizens headed syria / police alert stabbing / buffs civil war,2,3,78,1000,7.8
4,2024,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,314,1000,31.4
4,2024,citizens headed syria / police alert stabbing / buffs civil war,2,2,84,1000,8.4
4,2024,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,3,58,1000,5.800000000000001
4,2025,police 30090540 deaths / settled elite nyc / filed divorce prison,6,1,21,64,32.8125
4,2025,lucy lawless bewitching / survey vegas tourists / lyrics sell 12,4,2,6,64,9.375
4,2025,venezuela hugo chavez / arrest gulf / dropped cancer fears,1,3,3,64,4.6875
5,2015,obama chooses chicago / federal police probe / early casualty rising,1,1,282,1000,28.199999999999996
5,2015,turkish protesters / deaths caused raid / validates presidents term,0,2,169,1000,16.900000000000002
5,2015,britney spears injures / homeless youth / urges conjoined twins,6,3,74,1000,7.3999999999999995
5,2016,obama chooses chicago / federal police probe / early casualty rising,1,1,313,1000,31.3
5,2016,turkish protesters / deaths caused raid / validates presidents term,0,2,143,1000,14.299999999999999
5,2016,britney spears injures / homeless youth / urges conjoined twins,6,3,89,1000,8.9
5,2017,obama chooses chicago / federal police probe / early casualty rising,1,1,311,1000,31.1
5,2017,turkish protesters / deaths caused raid / validates presidents term,0,2,177,1000,17.7
5,2017,britney spears injures / homeless youth / urges conjoined twins,6,3,79,1000,7.9
5,2018,obama chooses chicago / federal police probe / early casualty rising,1,1,303,1000,30.3
5,2018,turkish protesters / deaths caused raid / validates presidents term,0,2,147,1000,14.7
5,2018,britney spears injures / homeless youth / urges conjoined twins,6,3,93,1000,9.3
5,2019,obama chooses chicago / federal police probe / early casualty rising,1,1,327,1000,32.7
5,2019,turkish protesters / deaths caused raid / validates presidents term,0,2,166,1000,16.6
5,2019,britney spears injures / homeless youth / urges conjoined twins,6,3,55,1000,5.5
5,2020,congos ebola outbreak / virginia couple testifies / pray outdoors,3,1,248,1000,24.8
5,2020,obama chooses chicago / federal police probe / early casualty rising,1,2,174,1000,17.4
5,2020,turkish protesters / deaths caused raid / validates presidents term,0,3,96,1000,9.6
5,2021,obama chooses chicago / federal police probe / early casualty rising,1,1,251,1000,25.1
5,2021,turkish protesters / deaths caused raid / validates presidents term,0,2,170,1000,17.0
5,2021,congos ebola outbreak / virginia couple testifies / pray outdoors,3,3,98,1000,9.8
5,2022,obama chooses chicago / federal police probe / early casualty rising,1,1,292,1000,29.2
5,2022,turkish protesters / deaths caused raid / validates presidents term,0,2,198,1000,19.8
5,2022,britney spears injures / homeless youth / urges conjoined twins,6,3,62,1000,6.2
