month,year,topic,topic_id,rank,count,total_articles,percentage,source
3,2019,melasma cope skin / lopez gives birth / kathy griffin quits,3,3,112,1000,11.200000000000001,fox
3,2020,stop ebola spread / pakistan arrests parents / organ transplants html,0,1,563,1000,56.3,fox
3,2020,clinton cpac political / senate rejects proposal / base iowa jeb,2,2,127,1000,12.7,fox
3,2020,melasma cope skin / lopez gives birth / kathy griffin quits,3,3,53,1000,5.3,fox
3,2021,melasma cope skin / lopez gives birth / kathy griffin quits,3,1,140,1000,14.000000000000002,fox
3,2021,clinton cpac political / senate rejects proposal / base iowa jeb,2,2,135,1000,13.5,fox
3,2021,jailed hair chopping / worse insurgents email / missouri man pleads,5,3,107,1000,10.7,fox
3,2022,arctic ukraine rebels / city councilors ban / scale chemical,1,1,359,1000,35.9,fox
3,2022,clinton cpac political / senate rejects proposal / base iowa jeb,2,2,105,1000,10.5,fox
3,2022,jailed hair chopping / worse insurgents email / missouri man pleads,5,3,71,1000,7.1,fox
3,2023,jailed hair chopping / worse insurgents email / missouri man pleads,5,1,200,1000,20.0,fox
3,2023,clinton cpac political / senate rejects proposal / base iowa jeb,2,2,138,1000,13.8,fox
3,2023,melasma cope skin / lopez gives birth / kathy griffin quits,3,3,71,1000,7.1,fox
3,2024,clinton cpac political / senate rejects proposal / base iowa jeb,2,1,155,1000,15.5,fox
3,2024,jailed hair chopping / worse insurgents email / missouri man pleads,5,2,130,1000,13.0,fox
3,2024,melasma cope skin / lopez gives birth / kathy griffin quits,3,3,102,1000,10.2,fox
3,2025,clinton cpac political / senate rejects proposal / base iowa jeb,2,1,209,1000,20.9,fox
3,2025,melasma cope skin / lopez gives birth / kathy griffin quits,3,2,105,1000,10.5,fox
3,2025,jailed hair chopping / worse insurgents email / missouri man pleads,5,3,85,1000,8.5,fox
4,2015,avril lavigne health / drink teens study / foods avoid want,1,1,142,1000,14.2,fox
4,2015,murder investigation oklahoma / teen passes three / nevada inmate,7,2,88,1000,8.799999999999999,fox
4,2015,clinton running phony / reporters cited excellence / rubio adding name,4,3,88,1000,8.799999999999999,fox
4,2016,group atrocities iraq / airport southern yemen / framework dianne,2,1,138,1000,13.8,fox
4,2016,avril lavigne health / drink teens study / foods avoid want,1,2,132,1000,13.200000000000001,fox
4,2016,murder investigation oklahoma / teen passes three / nevada inmate,7,3,118,1000,11.799999999999999,fox
