network,period,Positive_VADER,Count,Mean tone,Mean vader_tone
ABC News,After Election,0.6256983240223464,179,-3.0036825974097265,0.24329106145251414
ABC News,Before Election,0.5904255319148937,188,-3.343653534318884,0.1659888297872341
Fox News,After Election,0.6520681265206812,822,-2.6952453364035485,0.300525182481751
Fox News,Before Election,0.6654719235364397,837,-2.754359145499975,0.30612365591397817
MSNBC,After Election,0.7393939393939394,165,-1.6440991316079983,0.17767393939393933
MSNBC,Before Election,0.6274509803921569,255,-2.3706030122544948,0.02474823529411765
