month,year,topic,rank,count,total_articles,percentage,source
11,2019,"TAX_WORLDMAMMALS_FOX,51",2,115,1000,11.5,fox
11,2019,"TAX_WORLDMAMMALS_FOX,99",3,114,1000,11.4,fox
12,2019,"TAX_WORLDMAMMALS_FOX,3",1,147,1000,14.7,fox
12,2019,"TAX_WORLDMAMMALS_FOX,51",2,128,1000,12.8,fox
12,2019,"TAX_WORLDMAMMALS_FOX,99",3,127,1000,12.7,fox
1,2020,"TAX_WORLDMAMMALS_FOX,3",1,100,1000,10.0,fox
1,2020,"TAX_WORLDMAMMALS_FOX,51",2,92,1000,9.2,fox
1,2020,"TAX_WORLDMAMMALS_FOX,99",3,92,1000,9.2,fox
2,2020,"TAX_WORLDMAMMALS_FOX,3",1,34,1000,3.4000000000000004,fox
2,2020,"USPEC_POLITICS_GENERAL1,9",2,27,1000,2.7,fox
2,2020,"LEADER,9",3,25,1000,2.5,fox
3,2020,"TAX_DISEASE_CORONAVIRUS,38",1,165,1000,16.5,fox
3,2020,"LEADER,9",2,26,1000,2.6,fox
3,2020,"TAX_FNCACT_PRESIDENT,9",3,22,1000,2.1999999999999997,fox
4,2020,"TAX_DISEASE_CORONAVIRUS,38",1,500,1000,50.0,fox
4,2020,"TAX_DISEASE_CORONAVIRUS,44",2,37,1000,3.6999999999999997,fox
4,2020,"LEADER,108",3,16,1000,1.6,fox
5,2020,"TAX_DISEASE_CORONAVIRUS,38",1,320,1000,32.0,fox
5,2020,"TAX_DISEASE_CORONAVIRUS,44",2,26,1000,2.6,fox
5,2020,"LEADER,9",3,24,1000,2.4,fox
6,2020,"LEADER,9",1,27,1000,2.7,fox
6,2020,"TAX_FNCACT_PRESIDENT,9",2,24,1000,2.4,fox
6,2020,"USPEC_POLITICS_GENERAL1,9",3,23,1000,2.3,fox
7,2020,"LEADER,9",1,30,1000,3.0,fox
7,2020,"USPEC_POLITICS_GENERAL1,9",2,30,1000,3.0,fox
7,2020,"TAX_FNCACT_PRESIDENT,9",3,29,1000,2.9000000000000004,fox
8,2020,"USPEC_POLITICS_GENERAL1,9",1,31,1000,3.1,fox
8,2020,"LEADER,9",2,30,1000,3.0,fox
8,2020,"TAX_FNCACT_PRESIDENT,9",3,29,1000,2.9000000000000004,fox
9,2020,"USPEC_POLITICS_GENERAL1,9",1,52,1000,5.2,fox
9,2020,"LEADER,9",2,47,1000,4.7,fox
9,2020,"TAX_FNCACT_PRESIDENT,9",3,46,1000,4.6,fox
10,2020,"LEADER,9",1,53,1000,5.3,fox
10,2020,"USPEC_POLITICS_GENERAL1,9",2,53,1000,5.3,fox
10,2020,"TAX_FNCACT_PRESIDENT,9",3,51,1000,5.1,fox
11,2020,"LEADER,9",1,33,1000,3.3000000000000003,fox
11,2020,"USPEC_POLITICS_GENERAL1,9",2,32,1000,3.2,fox
11,2020,"TAX_FNCACT_PRESIDENT,9",3,31,1000,3.1,fox
12,2020,"USPEC_POLITICS_GENERAL1,9",1,19,1000,1.9,fox
12,2020,"LEADER,9",2,16,1000,1.6,fox
12,2020,"TAX_FNCACT_PRESIDENT,9",3,16,1000,1.6,fox
1,2021,"USPEC_POLITICS_GENERAL1,9",1,51,1000,5.1,fox
1,2021,"LEADER,9",2,47,1000,4.7,fox
1,2021,"TAX_FNCACT_PRESIDENT,9",3,46,1000,4.6,fox
2,2021,"LEADER,9",1,29,1000,2.9000000000000004,fox
2,2021,"USPEC_POLITICS_GENERAL1,9",2,29,1000,2.9000000000000004,fox
2,2021,"TAX_FNCACT_PRESIDENT,9",3,28,1000,2.8000000000000003,fox
3,2021,"LEADER,9",1,25,1000,2.5,fox
3,2021,"USPEC_POLITICS_GENERAL1,9",2,24,1000,2.4,fox
