source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date
Fox News,"TAX_FNCACT_PRESIDENT,640",1.5779093273644734e-05,43928.20097702855,0.038632321944385484,32,,2015-07-01 03:30:00
Fox News,"TAX_FNCACT_PRESIDENT,687",1.4029984324016939e-05,49404.70099980052,0.04735580049787702,46,,2015-03-24 12:30:00
Fox News,"TAX_FNCACT_PRIME_MINISTER,189",6.560693375759176e-05,10565.151286006216,0.18874740809464452,5,,2016-02-02 05:45:00
Fox News,"TAX_FNCACT_PRINCE,144",3.860507490589384e-05,17954.82024706867,0.016566858403593177,3,,2018-05-19 08:15:00
Fox News,"TAX_FNCACT_PRINCE,75",4.727488686413431e-05,14662.059002954698,0.07814144433826486,6,,2017-12-30 19:00:00
Fox News,"TAX_FNCACT_PROFESSOR,9",2.5788013433911865e-05,26878.65749474288,0.042013047567865947,15,,2017-07-07 18:30:00
Fox News,"TAX_FNCACT_REPRESENTATIVE,926",0.00015237091469354119,4549.078030764928,0.7410636273430126,3,,2016-03-28 15:30:00
Fox News,"TAX_FNCACT_SHERIFF,1797",3.632609265480757e-05,19081.24793785689,0.04363089885942062,4,,2016-11-29 00:00:00
Fox News,"TAX_FNCACT_SHERIFF,276",4.206824682153299e-05,16476.730858324052,0.11255725126326444,8,,2016-10-17 21:00:00
Fox News,"TAX_FNCACT_STUDENT,171",4.14583844636725e-05,16719.107353720177,0.06334322895274525,5,,2015-11-23 17:15:00
Fox News,"TAX_FNCACT_STUDENT,858",3.3406445758777016e-05,20748.90533297251,0.03697682625884391,6,,2017-05-23 14:00:00
Fox News,"TAX_FNCACT_STUDENT,93",2.9002267309569476e-05,23899.758358934825,0.07208273732254644,9,,2015-03-02 21:30:00
Fox News,"TAX_FNCACT_SUPPORTERS,187",8.24585699669874e-05,8406.00535320282,0.20263573232838628,6,,2016-03-28 15:30:00
Fox News,"TAX_FNCACT_SUPPORTERS,865",0.0001552316646662191,4465.243493010001,1.0,2,,2016-03-28 15:30:00
Fox News,"TAX_FNCACT_TEACHER,2884",0.00027068717097593033,2560.694613124389,0.9967998475560546,3,,2017-03-20 00:30:00
Fox News,"TAX_FNCACT_TRUCK_DRIVER,100",0.0001753741817076836,3952.3901056045625,1.0,2,,2015-06-15 18:15:00
