parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone,afinn_tone_score,sentiment_label,vader_sentiment_analysis,vader_tone_score
2020-07-20 21:45:00,https://www.msnbc.com/katy-tur/watch/officials-believe-suspect-in-killing-of-n-j-federal-judge-s-son-took-his-own-life-88010309779,officials believe suspect in killing of n j federal judge s son took his own life 88010309779,"CRISISLEX_C07_SAFETY,69;TRIAL,31;TAX_FNCACT_ATTORNEY,31;TAX_FNCACT_JUDGE,107;SECURITY_SERVICES,188;WB_696_PUBLIC_SECTOR_MANAGEMENT,188;WB_840_JUSTICE,188;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,188;WB_328_FINANCIAL_INTEGRITY,188;WB_1014_CRIMINAL_JUSTICE,188;WB_2082_LAW_ENFORCEMENT,188;TAX_FNCACT_AUTHORITIES,11;CRISISLEX_CRISISLEXREC,11;EPU_POLICY_AUTHORITIES,11;KILL,42;CRISISLEX_T02_INJURED,42;CRISISLEX_T03_DEAD,42;LEGISLATION,176;EPU_POLICY_LAW,176;WOUND,121;CRISISLEX_C03_WELLBEING_HEALTH,121;","2#New York, United States#US#USNY##42.1497#-74.9384#NY#54;2#New Jersey, United States#US#USNJ##40.314#-74.5089#NJ#93","Anne Thompson,156",,"-10.6382978723404,0,10.6382978723404,10.6382978723404,21.2765957446809,0,42",,,,
2020-07-20 22:15:00,https://www.msnbc.com:443/msnbc/watch/miami-mayor-coronavirus-data-from-the-cdc-clearly-not-getting-to-us-88013893816,miami mayor coronavirus data from the cdc clearly not getting to us 88013893816,"LEADER,26;TAX_FNCACT_MAYOR,26;TAX_DISEASE_CORONAVIRUS,192;","3#Miami, Florida, United States#US#USFL#FL086#25.7743#-80.1937#295004#5","Francis Suarez,41;Nicolle Wallace,63",,"0,0,0,0,10.5263157894737,0,33",,,,
2020-07-20 22:15:00,https://www.msnbc.com:443/msnbc/watch/wallace-trump-s-potential-refusal-to-accept-election-result-would-be-democracy-destroying-88015429518,wallace trump s potential refusal to accept election result would be democracy destroying 88015429518,"LEADER,70;LEADER,134;LEADER,161;TAX_FNCACT_PRESIDENT,70;TAX_FNCACT_PRESIDENT,134;TAX_FNCACT_PRESIDENT,161;USPEC_POLITICS_GENERAL1,70;USPEC_POLITICS_GENERAL1,134;USPEC_POLITICS_GENERAL1,161;EPU_CATS_MIGRATION_FEAR_FEAR,60;TAX_FNCACT_VICE_PRESIDENT,134;TAX_FNCACT_OFFICIALS,55;",,"Donald Trump,83;Nicolle Wallace,15;Joe Biden,144",,"-10,0,10,10,16.6666666666667,0,26",,,,
2020-07-20 22:15:00,https://www.msnbc.com:443/mtp-daily/watch/oxford-vaccine-trials-shows-promising-numbers-88020549846,oxford vaccine trials shows promising numbers 88020549846,"WB_1415_COMMUNICABLE_DISEASE,50;TAX_FNCACT_PHYSICIAN,60;HEALTH_VACCINATION,125;WB_642_CHILD_HEALTH,125;WB_1459_IMMUNIZATIONS,125;WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH,125;TAX_DISEASE_DISEASES,50;WB_1406_DISEASES,50;WB_621_HEALTH_NUTRITION_AND_POPULATION,50;UNGP_HEALTHCARE,50;GENERAL_HEALTH,16;MEDICAL,16;CRISISLEX_C03_WELLBEING_HEALTH,16;TAX_DISEASE_INFECTIOUS,41;",,"Nahid Bhadelia,81",,"-11.5384615384615,0,11.5384615384615,11.5384615384615,0,0,19",,,,
2020-07-20 22:15:00,https://www.msnbc.com:443/craig-melvin/watch/ex-houston-teacher-says-decision-to-resign-ahead-of-new-school-year-was-agonizing-88016453510,ex houston teacher says decision to resign ahead of new school year was agonizing 88016453510,"EDUCATION,31;TAX_FNCACT_TEACHER,31;",,"Meghan Hokom,12;Chris Jansing,62",,"-3.03030303030303,0,3.03030303030303,3.03030303030303,15.1515151515152,0,29",,,,
2020-07-20 23:30:00,https://www.msnbc.com/deadline-white-house/watch/maya-wiley-trump-s-been-a-danger-to-our-democracy-since-day-one-88020549722,maya wiley trump s been a danger to our democracy since day one 88020549722,"ELECTION,120;TAX_WORLDMAMMALS_FOX,10;",,"Donald Trump,59;Chris Wallace,44",,"0,0,0,0,22.5806451612903,0,29",,,,
2020-07-20 23:30:00,https://www.msnbc.com/mtp-daily/watch/oxford-vaccine-trials-shows-promising-numbers-88020549846,oxford vaccine trials shows promising numbers 88020549846,"WB_1415_COMMUNICABLE_DISEASE,50;TAX_FNCACT_PHYSICIAN,60;HEALTH_VACCINATION,125;WB_642_CHILD_HEALTH,125;WB_1459_IMMUNIZATIONS,125;WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH,125;TAX_DISEASE_DISEASES,50;WB_1406_DISEASES,50;WB_621_HEALTH_NUTRITION_AND_POPULATION,50;UNGP_HEALTHCARE,50;GENERAL_HEALTH,16;MEDICAL,16;CRISISLEX_C03_WELLBEING_HEALTH,16;TAX_DISEASE_INFECTIOUS,41;",,"Nahid Bhadelia,81",,"-11.5384615384615,0,11.5384615384615,11.5384615384615,0,0,19",,,,
2020-07-20 23:30:00,https://www.msnbc.com/andrea-mitchell-reports/watch/-wall-of-moms-shields-protesters-from-federal-agents-in-portland-88006213692, wall of moms shields protesters from federal agents in portland 88006213692,"TAX_FNCACT_WOMEN,16;TAX_FNCACT_WOMEN,280;TAX_FNCACT_AGENTS,132;TAX_FNCACT_DEMONSTRATORS,112;CRISISLEX_CRISISLEXREC,194;UNREST_CRACKDOWN,173;PROTEST,58;SECURITY_SERVICES,194;WB_696_PUBLIC_SECTOR_MANAGEMENT,194;WB_840_JUSTICE,194;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,194;WB_328_FINANCIAL_INTEGRITY,194;WB_1014_CRIMINAL_JUSTICE,194;WB_2082_LAW_ENFORCEMENT,194;LEGISLATION,182;EPU_POLICY_LAW,182;TAX_FNCACT_FEDERAL_AGENTS,132;",,"Erin Mclaughlin,227",,"-5.88235294117647,1.47058823529412,7.35294117647059,8.82352941176471,11.7647058823529,0,60",,,,
2020-07-20 23:30:00,https://www.msnbc.com:443/reidout,reidout,"EPU_POLICY_POLITICAL,111;LEADER,59;TAX_FNCACT_POLITICIANS,59;",,,,"-4.16666666666667,0,4.16666666666667,4.16666666666667,12.5,0,19",,,,
2020-07-21 00:45:00,https://www.msnbc.com:443/the-reidout/watch/hillary-clinton-trump-commuted-roger-stone-so-stone-would-not-spill-anymore-beans-88028741527,hillary clinton trump commuted roger stone so stone would not spill anymore beans 88028741527,"TAX_FNCACT_SECRETARY_OF_STATE,215;LEADER,9;TAX_FNCACT_PRESIDENT,9;USPEC_POLITICS_GENERAL1,9;TAX_FNCACT_SECRETARY,206;",,"Donald Trump,168;Hillary Clinton,231;Roger Stone,36;Roger Stone,69;Roger Stone,89",,"-5,0,5,5,37.5,0,36",,,,
