parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone
2019-09-06 15:45:00 UTC,http://www.msnbc.com/rachel-maddow-show/trump-accidentally-speaks-his-mind-medal-freedom-presentation,trump accidentally speaks his mind medal freedom presentation,"LEADER,102;LEADER,553;LEADER,789;LEADER,1192;LEADER,1676;","1#Puerto Rico#RQ#RQ##18.2359#-66.4838#RQ#2261;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#221;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1789;2#West Virginia, United States#US#USWV##38.468#-80.9696#WV#905;2#West Virginia, United States#US#USWV##38.468#-80.9696#WV#1135;2#West Virginia, United States#US#USWV##38.468#-80.9696#WV#1222;1#American#US#US##39.828175#-98.5795#US#396;1#American#US#US##39.828175#-98.5795#US#673","Donald Trump,84;Donald Trump,115;El Paso,2163;Jerry West,201;Jerry West,816;Jerry West,1176","National Basketball Association,359","3.07328605200946,5.91016548463357,2.83687943262411,8.74704491725768,21.5130023640662,0.709219858156028,389"
2019-09-06 15:45:00 UTC,http://www.msnbc.com/hallie-jackson/watch/trump-and-manchin-meet-to-discuss-gun-legislation-68348485555,trump and manchin meet to discuss gun legislation 68348485555,"LEGISLATION,115;USPEC_POLICY1,115;EPU_POLICY_LEGISLATION,115;LEADER,9;TAX_FNCACT_PRESIDENT,9;USPEC_POLITICS_GENERAL1,9;EPU_POLICY_WHITE_HOUSE,163;TAX_WEAPONS_GUN,103;TAX_FNCACT_SENATOR,47;",,"Geoff Bennett,134;Joe Manchin,59",,"0,0,0,0,22.5806451612903,0,24"
2019-09-06 15:45:00 UTC,http://www.msnbc.com/stephanie-ruhle/watch/new-generation-of-voters-emerges-in-2020-68348997531,new generation of voters emerges in 2020 68348997531,"TAX_POLITICAL_PARTY_REPUBLICANS,335;DEMOCRACY,235;TAX_FNCACT_DIRECTOR,203;ELECTION,12;USPEC_POLITICS_GENERAL1,186;",,"Stephanie Ruhle,287;Emily Tisch Sussman,266;Axio Alexi Mccammond,154","Young,5;Harvard Institute Of Politics Polling,194","1.5625,1.5625,0,1.5625,18.75,0,56"
2019-09-06 16:00:00 UTC,https://www.msnbc.com/morning-joe/watch/are-the-ingredients-for-war-with-iran-present-68348486000,are the ingredients for war with iran present 68348486000,"TAX_FNCACT_WRITER,6;",1#Iran#IR#IR##32#53#IR#126,"Ronen Bergman,20",,"-3.44827586206897,0,3.44827586206897,3.44827586206897,24.1379310344828,0,24"
2019-09-06 16:30:00 UTC,https://www.msnbc.com/hallie-jackson/watch/trump-and-manchin-meet-to-discuss-gun-legislation-68348485555,trump and manchin meet to discuss gun legislation 68348485555,"LEGISLATION,115;USPEC_POLICY1,115;EPU_POLICY_LEGISLATION,115;LEADER,9;TAX_FNCACT_PRESIDENT,9;USPEC_POLITICS_GENERAL1,9;EPU_POLICY_WHITE_HOUSE,163;TAX_WEAPONS_GUN,103;TAX_FNCACT_SENATOR,47;",,"Geoff Bennett,134;Joe Manchin,59",,"0,0,0,0,22.5806451612903,0,24"
2019-09-06 16:30:00 UTC,https://www.msnbc.com/morning-joe/watch/congresswoman-criticizes-diverting-funds-to-border-wall-68345925890,congresswoman criticizes diverting funds to border wall 68345925890,"LEADER,89;TAX_FNCACT_PRESIDENT,89;USPEC_POLITICS_GENERAL1,24;BORDER,156;",,"Veronica Escobar,53","Armed Services Committee,24","-3.7037037037037,0,3.7037037037037,3.7037037037037,11.1111111111111,0,22"
2019-09-06 16:30:00 UTC,https://www.msnbc.com/morning-joe/watch/august-jobs-report-130-000-jobs-added-unemployment-stays-at-3-7-percent-68335173900,august jobs report 130 000 jobs added unemployment stays at 3 7 percent 68335173900,"USPEC_POLICY1,16;EPU_ECONOMY,16;EPU_ECONOMY_HISTORIC,16;UNEMPLOYMENT,133;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,133;WB_2689_JOBS_DIAGNOSTICS,133;WB_2747_UNEMPLOYMENT,133;UNGP_JOB_OPPORTUNITIES_EMPLOYMENT,133;WB_2670_JOBS,37;WB_1467_EDUCATION_FOR_ALL,37;WB_470_EDUCATION,37;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS,37;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,37;",,,,"-6.25,0,6.25,6.25,6.25,0,26"
2019-09-06 16:30:00 UTC,https://www.msnbc.com/morning-joe/watch/more-conservative-writers-calling-for-stand-against-racism-68337221763,more conservative writers calling for stand against racism 68337221763,"TAX_ETHNICITY_FRENCH,33;TAX_WORLDLANGUAGES_FRENCH,33;",,"David French,33;Ross Douthat,48",,"-14.2857142857143,0,14.2857142857143,14.2857142857143,10.7142857142857,0,24"
2019-09-06 17:45:00 UTC,http://www.msnbc.com/rachel-maddow-show/dems-launch-probe-following-trumps-self-dealing-controversies,dems launch probe following trumps self dealing controversies,"EPU_POLICY_CONGRESSIONAL,1090;EPU_POLICY_CONGRESSIONAL,2527;WB_2024_ANTI_CORRUPTION_AUTHORITIES,1170;WB_840_JUSTICE,1170;WB_2025_INVESTIGATION,1170;WB_832_ANTI_CORRUPTION,1170;WB_1014_CRIMINAL_JUSTICE,1170;TAX_FNCACT_VICE_PRESIDENT,692;TAX_FNCACT_VICE_PRESIDENT,941;TAX_FNCACT_VICE_PRESIDENT,1231;TAX_FNCACT_LEADERS,483;TAX_FNCACT_LEADERS,1447;TAX_MILITARY_TITLE_CHIEF_OF_STAFF,869;TAX_FNCACT_CHIEF_OF_STAFF,869;TAX_FNCACT_COMPANIONS,968;TAX_FNCACT_REPRESENTATIVES,616;TAX_POLITICAL_PARTY_DEMOCRATS,1198;TAX_FNCACT_CHIEF,860;TAX_FNCACT_CHAIRMAN,1993;TAX_FNCACT_CHAIRMAN,2467;EPU_ECONOMY_HISTORIC,997;IMPEACHMENT,2237;IMPEACHMENT,2425;SOC_USSECURITYAGENCIES,1578;CORRUPTION,32;EPU_CATS_MIGRATION_FEAR_FEAR,2347;LEADER,315;LEADER,692;LEADER,892;LEADER,941;LEADER,1231;LEADER,1260;LEADER,1925;TAX_FNCACT_PRESIDENT,315;TAX_FNCACT_PRESIDENT,692;TAX_FNCACT_PRESIDENT,892;TAX_FNCACT_PRESIDENT,941;TAX_FNCACT_PRESIDENT,1231;TAX_FNCACT_PRESIDENT,1260;TAX_FNCACT_PRESIDENT,1925;USPEC_POLITICS_GENERAL1,315;USPEC_POLITICS_GENERAL1,692;USPEC_POLITICS_GENERAL1,892;USPEC_POLITICS_GENERAL1,941;USPEC_POLITICS_GENERAL1,1231;USPEC_POLITICS_GENERAL1,1260;USPEC_POLITICS_GENERAL1,1925;CONSTITUTIONAL,2326;EPU_POLICY_WHITE_HOUSE,72;EPU_POLICY_WHITE_HOUSE,1542;WB_696_PUBLIC_SECTOR_MANAGEMENT,1100;WB_696_PUBLIC_SECTOR_MANAGEMENT,1762;WB_696_PUBLIC_SECTOR_MANAGEMENT,1974;WB_831_GOVERNANCE,1100;WB_831_GOVERNANCE,1762;WB_831_GOVERNANCE,1974;WB_838_PUBLIC_ACCOUNTABILITY_MECHANISMS,1100;WB_838_PUBLIC_ACCOUNTABILITY_MECHANISMS,1762;WB_838_PUBLIC_ACCOUNTABILITY_MECHANISMS,1974;","4#Dublin, Dublin, Ireland#EI#EI07#18288#53.3331#-6.24889#-1502554#746;1#Ireland#EI#EI##53#-8#EI#723;1#Ireland#EI#EI##53#-8#EI#755;1#Ireland#EI#EI##53#-8#EI#1296;2#Florida, United States#US#USFL##27.8333#-81.717#FL#238;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#72;3#White House, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1542","Donald Trump,163;Donald Trump,1273;Jerry Nadler,2480;Mike Pence,703;Mike Pence,1242","White House,72;White House,1542;Oversight Committee,1984;Judiciary Committee,2458;Trump Organization,1603","-3.86473429951691,1.44927536231884,5.31400966183575,6.76328502415459,20.5314009661836,0,377"
2019-09-06 17:45:00 UTC,http://www.msnbc.com/craig-melvin/watch/summer-camp-brings-inmates-and-their-kids-together-68356677664,summer camp brings inmates and their kids together 68356677664,"SOC_POINTSOFINTEREST_PRISON,492;SOC_POINTSOFINTEREST_PRISONS,239;WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM,239;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,239;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,239;WB_2490_NATIONAL_PROTECTION_AND_SECURITY,239;TRIAL,469;TAX_FNCACT_CRIMINAL,15;DRUG_TRADE,512;WB_1331_HEALTH_TECHNOLOGIES,512;WB_2453_ORGANIZED_CRIME,512;WB_1350_PHARMACEUTICALS,512;WB_2433_CONFLICT_AND_VIOLENCE,512;WB_621_HEALTH_NUTRITION_AND_POPULATION,512;WB_2456_DRUGS_AND_NARCOTICS,512;TAX_FNCACT_EDITOR,276;TAX_FNCACT_EDITOR,329;TAX_FNCACT_OFFICIALS,217;UNGP_FORESTS_RIVERS_OCEANS,397;TAX_FNCACT_CHILDREN,93;ARREST,113;",1#United States#US#US##39.828175#-98.5795#US#294;1#United States#US#US##39.828175#-98.5795#US#381,"Craig Melvin,166;Craig Melvin,418","United States,294;United States,381","-9.67741935483871,1.0752688172043,10.752688172043,11.8279569892473,15.0537634408602,0,83"
